epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1121.03,0.55943,0.57247,0.87832,0.89679,0.73881,0.73627,0.6377,0.55699,0.71116,0.83395,0.000742625,0.000742625,0.000742625
43,1147.79,0.58947,0.58538,0.88366,0.89475,0.70791,0.73526,0.63254,0.58279,0.71648,0.82454,0.00073025,0.00073025,0.00073025
44,1176.57,0.54838,0.57027,0.89334,0.84085,0.71221,0.7324,0.65456,0.52658,0.66424,0.82071,0.000717875,0.000717875,0.000717875
45,1199.27,0.53337,0.5702,0.88486,0.85295,0.74331,0.73843,0.64354,0.52157,0.64738,0.82301,0.0007055,0.0007055,0.0007055
46,1226.03,0.56126,0.58312,0.88639,0.88207,0.73361,0.73645,0.65699,0.52786,0.68226,0.81933,0.000693125,0.000693125,0.000693125
47,1252.98,0.51636,0.54004,0.86914,0.86927,0.73283,0.74129,0.63241,0.56186,0.65703,0.83797,0.00068075,0.00068075,0.00068075
48,1277.15,0.58031,0.59085,0.90741,0.88782,0.65653,0.73336,0.64254,0.55731,0.64312,0.83597,0.000668375,0.000668375,0.000668375
49,1301.15,0.541,0.53683,0.89299,0.8729,0.67255,0.73128,0.64351,0.53916,0.65259,0.82755,0.000656,0.000656,0.000656
50,1326.1,0.54563,0.58827,0.90376,0.84664,0.72763,0.73518,0.64639,0.54161,0.63042,0.82508,0.000643625,0.000643625,0.000643625
51,1349.11,0.5322,0.53694,0.87949,0.8804,0.721,0.73467,0.65163,0.52195,0.64862,0.83194,0.00063125,0.00063125,0.00063125
52,1372.74,0.58096,0.57515,0.90188,0.8806,0.72157,0.73751,0.62638,0.5184,0.63644,0.83722,0.000618875,0.000618875,0.000618875
53,1398.04,0.54947,0.55463,0.87723,0.89097,0.71623,0.74232,0.62813,0.56795,0.64084,0.83304,0.0006065,0.0006065,0.0006065
54,1422.68,0.53113,0.55851,0.88137,0.9219,0.7069,0.74544,0.64748,0.53917,0.64534,0.83056,0.000594125,0.000594125,0.000594125
55,1445.43,0.51398,0.53064,0.8622,0.93027,0.71997,0.74153,0.64712,0.51961,0.61501,0.82749,0.00058175,0.00058175,0.00058175
56,1469.76,0.55348,0.5425,0.88944,0.88058,0.73637,0.74439,0.64232,0.55316,0.64483,0.83323,0.000569375,0.000569375,0.000569375
57,1491.53,0.49377,0.52617,0.85968,0.85225,0.73798,0.74475,0.65609,0.53894,0.62979,0.82128,0.000557,0.000557,0.000557
58,1514.73,0.53333,0.51543,0.86221,0.89357,0.73983,0.74331,0.6593,0.50691,0.61432,0.81589,0.000544625,0.000544625,0.000544625
59,1537.91,0.49121,0.49396,0.85634,0.91035,0.7157,0.74388,0.65876,0.49886,0.60611,0.81348,0.00053225,0.00053225,0.00053225
60,1562.99,0.51762,0.52898,0.8846,0.93296,0.71007,0.74611,0.65369,0.53565,0.6424,0.82279,0.000519875,0.000519875,0.000519875
61,1586.92,0.5023,0.49101,0.86464,0.92679,0.70626,0.74349,0.64847,0.52117,0.62469,0.82095,0.0005075,0.0005075,0.0005075
62,1611.76,0.48492,0.48107,0.85539,0.9003,0.72054,0.74314,0.67378,0.52079,0.58518,0.81214,0.000495125,0.000495125,0.000495125
63,1637.79,0.49762,0.501,0.86465,0.91216,0.73838,0.74356,0.66373,0.51803,0.58415,0.81209,0.00048275,0.00048275,0.00048275
64,1663.45,0.46929,0.47066,0.85477,0.8966,0.7035,0.74104,0.66566,0.54876,0.59956,0.83347,0.000470375,0.000470375,0.000470375
65,1689.4,0.48448,0.47146,0.8643,0.89663,0.7227,0.74552,0.67244,0.55512,0.60401,0.84189,0.000458,0.000458,0.000458
66,1711.59,0.49355,0.48955,0.86789,0.88306,0.72513,0.73646,0.66211,0.53883,0.63524,0.84452,0.000445625,0.000445625,0.000445625
67,1732.61,0.47989,0.47194,0.85839,0.93166,0.69847,0.73949,0.68279,0.5265,0.60768,0.83049,0.00043325,0.00043325,0.00043325
68,1756.56,0.50496,0.48855,0.86166,0.92464,0.68381,0.74535,0.67708,0.52402,0.60319,0.83294,0.000420875,0.000420875,0.000420875
69,1778.37,0.46708,0.46066,0.85307,0.87853,0.73693,0.74909,0.67883,0.51925,0.59751,0.83355,0.0004085,0.0004085,0.0004085
70,1799.65,0.49068,0.48516,0.86832,0.87499,0.73783,0.74703,0.68109,0.55877,0.61434,0.83778,0.000396125,0.000396125,0.000396125
71,1823.23,0.46908,0.45892,0.8569,0.89732,0.73515,0.74942,0.66776,0.52285,0.59846,0.83036,0.00038375,0.00038375,0.00038375
72,1847.2,0.47926,0.46907,0.86369,0.8356,0.73155,0.73189,0.64662,0.5287,0.60228,0.83114,0.000371375,0.000371375,0.000371375
73,1871.82,0.45927,0.46089,0.85136,0.84062,0.72562,0.74608,0.67439,0.51241,0.58059,0.81865,0.000359,0.000359,0.000359
74,1895.58,0.4712,0.45545,0.86614,0.85166,0.73648,0.75059,0.67357,0.50234,0.56656,0.81819,0.000346625,0.000346625,0.000346625
75,1916.38,0.47447,0.47006,0.86688,0.87617,0.72877,0.7473,0.68036,0.5061,0.57258,0.81718,0.00033425,0.00033425,0.00033425
76,1938.24,0.46786,0.45458,0.86189,0.89699,0.72845,0.75062,0.68262,0.5062,0.57393,0.81781,0.000321875,0.000321875,0.000321875
